school_code,school_name,group_code,2024_rank,2024_score,major_count
A003,清华大学,04,71.0,692.0,5
A003,清华大学,05,412.0,677.0,1
A003,清华大学,07,159.0,686.0,2
A019,中国农业大学,04,8215.0,625.0,2
A019,中国农业大学,08,13315.0,610.0,5
A059,中国民航大学,06,39348.0,563.0,7
A089,复旦大学,04,412.0,677.0,1
A089,复旦大学,05,159.0,686.0,1
A089,复旦大学,06,128.0,688.0,1
A089,复旦大学,09,372.0,678.0,1
A089,复旦大学,10,488.0,675.0,1
A089,复旦大学,11,618.0,672.0,4
A099,华东师范大学,05,5326.0,636.0,1
A113,南京理工大学,01,13728.0,609.0,2
A153,中南财经政法大学,13,16685.0,602.0,1
A153,中南财经政法大学,18,12932.0,611.0,3
A157,湖南大学,06,14519.0,607.0,1
A171,西南交通大学,08,21997.0,591.0,5
A171,西南交通大学,09,17613.0,600.0,17
A175,中国民用航空飞行学院,11,63695.0,531.0,1
A203,中国人民警察大学,08,51044.0,547.0,1
A213,中国地质大学(北京),04,18084.0,599.0,1
A317,北京邮电大学(宏福校区),01,8486.0,624.0,4
A317,北京邮电大学(宏福校区),02,12932.0,611.0,2
A357,山东大学威海分校,06,14934.0,606.0,3
A517,陆军军医大学,05,8760.0,623.0,1
A517,陆军军医大学,06,16685.0,602.0,1
A517,陆军军医大学,07,16230.0,603.0,1
A517,陆军军医大学,08,16685.0,602.0,1
C107,武汉体育学院,05,76874.0,515.0,2
C137,湖北第二师范学院,19,64476.0,530.0,1
C139,荆楚理工学院,11,108570.0,477.0,1
C218,荆州学院,05,127068.0,454.0,1
F003,北京工商大学,07,23071.0,589.0,1
F003,北京工商大学,08,35306.0,569.0,1
F003,北京工商大学,09,26392.0,583.0,1
F003,北京工商大学,10,35306.0,569.0,1
F010,首都师范大学,05,25224.0,585.0,2
F010,首都师范大学,06,16230.0,603.0,2
F054,北京城市学院,03,118376.0,465.0,1
F054,北京城市学院,04,118376.0,465.0,6
F054,北京城市学院,05,97720.0,490.0,1
F056,首都师范大学科德学院,03,123172.0,459.0,1
F094,天津农学院,03,77702.0,514.0,3
F095,天津医科大学,01,13728.0,609.0,4
F095,天津医科大学,10,23596.0,588.0,1
F096,天津中医药大学,10,42136.0,559.0,1
F196,邢台学院,04,96035.0,492.0,1
F196,邢台学院,05,91112.0,498.0,1
F199,燕山大学,02,31351.0,575.0,1
F207,张家口学院,03,94438.0,494.0,2
F207,张家口学院,04,93617.0,495.0,1
F207,张家口学院,05,86181.0,504.0,1
F242,河北外国语学院,06,129424.0,451.0,2
F292,山西大学,06,31351.0,575.0,8
F292,山西大学,08,50295.0,548.0,10
F292,山西大学,09,24681.0,586.0,8
F292,山西大学,10,40042.0,562.0,2
F296,山西农业大学,06,82752.0,508.0,1
F297,山西医科大学,10,61292.0,534.0,1
F299,山西师范大学,05,80209.0,511.0,6
F299,山西师范大学,06,45841.0,554.0,1
F299,山西师范大学,07,61292.0,534.0,1
F300,太原师范学院,04,92750.0,496.0,2
F300,太原师范学院,05,118376.0,465.0,2
F301,山西大同大学,02,74433.0,518.0,1
F303,长治学院,05,103610.0,483.0,5
F305,忻州师范学院,07,101041.0,486.0,8
F309,太原学院,08,94438.0,494.0,1
F309,太原学院,09,103610.0,483.0,4
F465,沈阳理工大学,05,58872.0,537.0,1
F467,辽宁工程技术大学,04,97720.0,490.0,5
F469,沈阳化工大学,01,64476.0,530.0,2
